trade_id,symbol,side,entry_time_utc,exit_time_utc,entry_price,exit_price,quantity,holding_minutes,exit_reason,gross_pnl_quote,fees_quote_total,net_pnl_quote,entry_notional_quote,exit_notional_quote,executed_quantity,was_tp_exit,was_sl_exit,was_forced_exit,trade_won
bt-trade-55,BTCUSDT,BUY,2025-05-12T13:00:00+00:00,2025-05-12T13:30:00+00:00,104261.18454000,103682.9155535228571428571428,0.076,30.0,STOP_LOSS,-51.872292997302857142857147,7.87990158206773714285714285,-59.75219457937059428571428985,7923.85002504000,7879.901582067737142857142853,0.076,False,True,False,False
bt-trade-56,BTCUSDT,BUY,2025-05-12T13:45:00+00:00,2025-05-12T14:00:00+00:00,104372.14999500,103712.3588414435714285714285,0.075,15.0,STOP_LOSS,-57.312247766357142857142862,7.77842691310826785714285714,-65.09067467946541071428571914,7827.91124962500,7778.426913108267857142857138,0.075,False,True,False,False
bt-trade-57,BTCUSDT,BUY,2025-05-12T17:00:00+00:00,2025-05-12T18:00:00+00:00,103051.51000500,102189.823059985000,0.076,60.0,STOP_LOSS,-73.320122581520000,7.766426552558860000,-81.086549134078860000,7831.91476038000,7766.426552558860000,0.076,False,True,False,False
bt-trade-58,BTCUSDT,BUY,2025-05-12T20:15:00+00:00,2025-05-13T02:15:00+00:00,102301.11499500,101505.7072871578571428571428,0.075,360.0,STOP_LOSS,-67.328161712785714285714290,7.61292804653683928571428571,-74.94108975932255357142857571,7672.58362462500,7612.928046536839285714285710,0.075,False,True,False,False
bt-trade-59,BTCUSDT,BUY,2025-05-13T04:15:00+00:00,2025-05-13T09:15:00+00:00,102424.93687500,103234.8925892857142857142857,0.075,300.0,TAKE_PROFIT,53.064808305803571428571428,7.74261694419642857142857143,45.32219136160714285714285657,7681.87026562500,7742.616944196428571428571428,0.075,True,False,False,True
bt-trade-60,BTCUSDT,BUY,2025-05-13T12:15:00+00:00,2025-05-13T12:30:00+00:00,103606.87755000,103079.2870409214285714285715,0.074,15.0,STOP_LOSS,-46.708606610514285714285709,7.62786724102818571428571429,-54.33647385154247142857142329,7666.90893870000,7627.867241028185714285714291,0.074,False,True,False,False
bt-trade-61,BTCUSDT,BUY,2025-05-13T13:15:00+00:00,2025-05-13T13:30:00+00:00,103838.49330000,103272.8297015285714285714285,0.074,15.0,STOP_LOSS,-49.543154791085714285714291,7.64218939791311428571428571,-57.18534418899882857142857671,7684.04850420000,7642.189397913114285714285709,0.074,False,True,False,False
bt-trade-62,BTCUSDT,BUY,2025-05-13T13:45:00+00:00,2025-05-13T14:00:00+00:00,103767.72793500,103174.2602204807142857142857,0.073,15.0,STOP_LOSS,-50.898187299162857142857144,7.53172099609509214285714286,-58.42990829525794928571428686,7575.04413925500,7531.720996095092142857142856,0.073,False,True,False,False
bt-trade-63,BTCUSDT,BUY,2025-05-13T15:00:00+00:00,2025-05-13T19:15:00+00:00,103792.30021500,104635.5145007142857142857143,0.072,255.0,TAKE_PROFIT,53.238382955948571428571430,7.53375704405142857142857143,45.70462591189714285714285857,7473.04561548000,7533.757044051428571428571430,0.072,True,False,False,True
bt-trade-64,BTCUSDT,BUY,2025-05-13T21:15:00+00:00,2025-05-13T21:45:00+00:00,104560.20397500,103936.2363109321428571428572,0.072,30.0,STOP_LOSS,-52.454006499085714285714282,7.48340901438711428571428572,-59.93741551347282857142856772,7528.33468620000,7483.409014387114285714285718,0.072,False,True,False,False
bt-trade-65,BTCUSDT,BUY,2025-05-14T01:00:00+00:00,2025-05-14T01:15:00+00:00,104083.75587000,103555.6562388185714285714285,0.072,15.0,STOP_LOSS,-45.517203867702857142857148,7.45600724919493714285714285,-52.97321111689779428571429085,7494.03042264000,7456.007249194937142857142852,0.072,False,True,False,False
bt-trade-66,BTCUSDT,BUY,2025-05-14T01:30:00+00:00,2025-05-14T01:45:00+00:00,104070.33916500,103540.3890446478571428571428,0.072,15.0,STOP_LOSS,-45.649473085234285714285718,7.45490801121464571428571428,-53.10438109644893142857143228,7493.06441988000,7454.908011214645714285714282,0.072,False,True,False,False
bt-trade-67,BTCUSDT,BUY,2025-05-14T04:15:00+00:00,2025-05-14T07:15:00+00:00,103722.73545000,103216.5383765071428571428572,0.071,180.0,STOP_LOSS,-43.304306434942857142857139,7.32837422473200714285714286,-50.63268065967486428571428186,7364.31421695000,7328.374224732007142857142861,0.071,False,True,False,False
bt-trade-68,BTCUSDT,BUY,2025-05-14T07:45:00+00:00,2025-05-14T08:00:00+00:00,103768.40827500,103291.7299480321428571428572,0.071,15.0,STOP_LOSS,-41.211718202242857142857139,7.33371282631028214285714286,-48.54543102855313928571428186,7367.55698752500,7333.712826310282142857142861,0.071,False,True,False,False
bt-trade-69,BTCUSDT,BUY,2025-05-14T08:30:00+00:00,2025-05-14T08:45:00+00:00,103771.84999500,103272.5657621578571428571428,0.070,15.0,STOP_LOSS,-42.213925798600000000000004,7.22907960335105000000000000,-49.44300540195105000000000400,7264.02949965000,7229.079603351049999999999996,0.070,False,True,False,False
bt-trade-70,BTCUSDT,BUY,2025-05-14T09:45:00+00:00,2025-05-14T11:30:00+00:00,103537.47286500,104035.5114364285714285714286,0.070,105.0,TAKE_PROFIT,27.615076899450000000000002,7.28248580055000000000000000,20.33259109890000000000000200,7247.62310055000,7282.485800550000000000000002,0.070,True,False,False,True
bt-trade-71,BTCUSDT,BUY,2025-05-14T13:45:00+00:00,2025-05-14T14:00:00+00:00,104022.85543500,103459.7038129807142857142857,0.070,15.0,STOP_LOSS,-46.702213421800000000000001,7.24217926690865000000000000,-53.94439268870865000000000100,7281.59988045000,7242.179266908649999999999999,0.070,False,True,False,False
bt-trade-72,BTCUSDT,BUY,2025-05-14T15:45:00+00:00,2025-05-14T16:45:00+00:00,103565.99712000,102888.1759550685714285714285,0.070,60.0,STOP_LOSS,-54.697101343600000000000005,7.20217231685480000000000000,-61.89927366045480000000000500,7249.61979840000,7202.172316854799999999999995,0.070,False,True,False,False
bt-trade-73,BTCUSDT,BUY,2025-05-14T18:15:00+00:00,2025-05-15T01:45:00+00:00,103299.25381500,102674.6814892692857142857143,0.069,450.0,STOP_LOSS,-50.223138988654285714285713,7.08455302275958071428571429,-57.30769201141386642857142729,7127.64851323500,7084.553022759580714285714287,0.069,False,True,False,False
bt-trade-74,BTCUSDT,BUY,2025-05-15T08:30:00+00:00,2025-05-15T09:15:00+00:00,102224.97694500,101681.4781948792857142857143,0.069,45.0,STOP_LOSS,-44.554937167534285714285713,7.01602199544667071428571429,-51.57095916298095642857142729,7053.52340920500,7016.021995446670714285714287,0.069,False,True,False,False
bt-trade-75,BTCUSDT,BUY,2025-05-15T11:00:00+00:00,2025-05-15T12:30:00+00:00,102127.15806000,102660.6252028571428571428571,0.069,90.0,TAKE_PROFIT,29.762458951002857142857140,7.08358313899714285714285714,22.67887581200571428571428286,7046.77390614000,7083.583138997142857142857140,0.069,True,False,False,True
bt-trade-76,BTCUSDT,BUY,2025-05-15T15:15:00+00:00,2025-05-15T16:30:00+00:00,102544.08642000,103403.4107057142857142857143,0.069,75.0,TAKE_PROFIT,52.217833751305714285714287,7.13483533869428571428571429,45.08299841261142857142857271,7075.54196298000,7134.835338694285714285714287,0.069,True,False,False,True
bt-trade-77,BTCUSDT,BUY,2025-05-15T20:15:00+00:00,2025-05-15T21:15:00+00:00,103384.99666500,102646.7184807192857142857143,0.069,60.0,STOP_LOSS,-58.074759485254285714285713,7.08262357516963071428571429,-65.15738306042391642857142729,7133.56476988500,7082.623575169630714285714287,0.069,False,True,False,False
bt-trade-78,BTCUSDT,BUY,2025-05-15T21:45:00+00:00,2025-05-16T02:00:00+00:00,103340.39437500,104161.2172321428571428571429,0.068,255.0,TAKE_PROFIT,48.788807468214285714285717,7.08296277178571428571428572,41.70584469642857142857143128,7027.14681750000,7082.962771785714285714285717,0.068,True,False,False,True
bt-trade-79,BTCUSDT,BUY,2025-05-16T05:00:00+00:00,2025-05-16T05:30:00+00:00,104049.61881000,103523.538678570000,0.068,30.0,STOP_LOSS,-42.848823016320000,7.039600630142760000,-49.888423646462760000,7075.37407908000,7039.600630142760000,0.068,False,True,False,False
bt-trade-80,BTCUSDT,BUY,2025-05-16T06:30:00+00:00,2025-05-16T07:00:00+00:00,104058.51325500,103577.4217023778571428571428,0.068,30.0,STOP_LOSS,-39.790204479645714285714290,7.04326467576169428571428571,-46.83346915540740857142857571,7075.97890134000,7043.264675761694285714285710,0.068,False,True,False,False
bt-trade-81,BTCUSDT,BUY,2025-05-16T09:00:00+00:00,2025-05-16T13:00:00+00:00,103673.52085500,103152.8176617207142857142857,0.067,240.0,STOP_LOSS,-41.833239846997142857142858,6.91123878333528785714285714,-48.74447863033243071428571514,6946.12589728500,6911.238783335287857142857142,0.067,False,True,False,False
bt-trade-82,BTCUSDT,BUY,2025-05-16T13:30:00+00:00,2025-05-16T14:00:00+00:00,103791.85999500,103293.242830015000,0.067,30.0,STOP_LOSS,-40.361404673660000,6.920647269611005000,-47.282051943271005000,6954.05461966500,6920.647269611005000,0.067,False,True,False,False
bt-trade-83,BTCUSDT,BUY,2025-05-16T14:15:00+00:00,2025-05-16T14:30:00+00:00,103883.91600000,103323.0420255714285714285715,0.066,15.0,STOP_LOSS,-43.874020768285714285714281,6.81932077368771428571428572,-50.69334154197342857142856672,6856.33845600000,6819.320773687714285714285719,0.066,False,True,False,False
bt-trade-84,BTCUSDT,BUY,2025-05-16T15:00:00+00:00,2025-05-16T15:15:00+00:00,104151.93994500,103527.5199765935714285714285,0.066,15.0,STOP_LOSS,-48.085745951194285714285719,6.83281631845517571428571428,-54.91856226964946142857143328,6874.02803637000,6832.816318455175714285714281,0.066,False,True,False,False
bt-trade-85,BTCUSDT,BUY,2025-05-16T16:30:00+00:00,2025-05-16T19:15:00+00:00,104030.08905000,103340.3536985642857142857143,0.065,165.0,STOP_LOSS,-51.594753631571428571428570,6.71712299040667857142857143,-58.31187662197810714285714143,6761.95578825000,6717.122990406678571428571430,0.065,False,True,False,False
bt-trade-86,BTCUSDT,BUY,2025-05-16T19:45:00+00:00,2025-05-16T20:15:00+00:00,104084.61630000,103529.8080182428571428571428,0.065,30.0,STOP_LOSS,-42.828038373714285714285718,6.72943752118578571428571428,-49.55747589490007142857143228,6765.50005950000,6729.437521185785714285714282,0.065,False,True,False,False
